RMSE,MAE,Pearson_R,model,n_train,n_test,feature_combo
13.852430084272711,9.00142654269862,0.5675989390275356,ANN,26748,6687,SampEn
14.256065690307203,9.370008461354931,0.5363788609897467,RF,26748,6687,SampEn
13.80043194680595,9.002965314294359,0.5719924630696077,XGB,26748,6687,SampEn
14.296025207689997,8.489863062192308,0.5544833608033032,SVR,26748,6687,SampEn
13.983063349493907,9.248231627069053,0.5561295946960555,ANN,26748,6687,ApEn
14.410611161091298,9.606693661003362,0.5219950147860772,RF,26748,6687,ApEn
13.958287696087572,9.299836759896062,0.5583434288485476,XGB,26748,6687,ApEn
14.462059074455343,8.825133653296527,0.5363786797187062,SVR,26748,6687,ApEn
12.667987565757365,8.870378913764698,0.6582282178924115,ANN,26748,6687,PE
13.21532926290659,9.175566400582618,0.6251821045724051,RF,26748,6687,PE
12.62045873928635,8.84606310491259,0.6616749107672013,XGB,26748,6687,PE
12.716718264080745,8.73220489182912,0.6626247471483542,SVR,26748,6687,PE
13.98507658820573,9.046046488714097,0.5559326625081566,ANN,26748,6687,SampEn_ApEn
13.771329160026516,9.010851289543467,0.5774043447901689,RF,26748,6687,SampEn_ApEn
13.696723120710063,8.978283365897706,0.5807500613680863,XGB,26748,6687,SampEn_ApEn
14.076489550003279,8.33040241937786,0.5705917939337082,SVR,26748,6687,SampEn_ApEn
12.441912754017945,8.451983861733805,0.6733326049405742,ANN,26748,6687,SampEn_PE
12.226773070841652,8.0802705159546,0.689544482104653,RF,26748,6687,SampEn_PE
12.21124137171914,8.185021596010191,0.6881082560188633,XGB,26748,6687,SampEn_PE
12.24160065173613,7.703074029017107,0.6971208503149696,SVR,26748,6687,SampEn_PE
12.233480800789772,8.273867647181014,0.6866349191645862,ANN,26748,6687,ApEn_PE
12.3614623784946,8.305747987886765,0.6813857462421552,RF,26748,6687,ApEn_PE
12.399968460834677,8.476737894024357,0.6760628603516439,XGB,26748,6687,ApEn_PE
12.228954697328325,7.910251749940944,0.699534385181644,SVR,26748,6687,ApEn_PE
11.298697379329575,7.69129218472853,0.7409712758913445,ANN,26748,6687,All
10.690251310637965,7.160160743275868,0.7727980214363277,RF,26748,6687,All
10.80662045657428,7.28532930255256,0.7666918726442885,XGB,26748,6687,All
10.649879098625252,6.965577830433381,0.7766915134724164,SVR,26748,6687,All
