feat_0,BIS
0.5873821951129856,74.0
0.5315438515265942,80.0
0.5434550625683867,97.0
0.5042696851979902,97.0
0.48425360052298005,97.0
0.5854121022466741,97.0
0.5882176897574767,97.0
0.6508373493717592,97.0
0.6172960181535965,96.0
0.6383907868404899,95.0
0.6329974965487191,95.0
0.781240450924793,95.0
1.0162525960614457,94.0
1.122027085947063,95.0
1.1140919167851466,95.0
0.81541686482141,95.0
1.1694791635526878,95.0
0.8711854941431239,95.0
1.0500899363240883,95.0
1.1241622226490522,95.0
1.1793526835759938,95.0
1.0878184091574212,95.0
1.1633017453158878,86.0
1.0979956522097591,83.0
1.083642012352528,82.0
1.040692889623049,82.0
1.057490451273929,83.0
1.005227544372263,83.0
1.1597102495891844,84.0
1.087722979886271,85.0
1.1190814268371874,85.0
1.1076685543007398,86.0
1.0109848447233967,86.0
1.1600137121075234,86.0
1.0245208307712632,85.0
0.9992488629461365,85.0
0.9591759968936371,83.0
1.1197400816870875,83.0
1.069061031982237,83.0
0.9842916360608309,83.0
1.122458368860178,84.0
1.0177683530391968,85.0
1.0373515635409838,84.0
1.1257344647126297,83.0
1.000320034171052,84.0
0.9021738128378556,83.0
0.9172091808958993,83.0
0.9323960011685548,84.0
1.099137105417089,84.0
1.1785944811878202,85.0
1.0721864982021247,85.0
1.2826179845156798,84.0
0.6876690881513405,83.0
0.875522329718994,83.0
1.2660793340332352,83.0
1.27752591074481,83.0
1.2206484141914435,83.0
1.2098803011254526,83.0
1.229478446072533,83.0
1.2736822439177056,82.0
0.8228429127743695,82.0
1.2754272839940608,82.0
1.2681483388022032,83.83333333333333
1.2903313119233868,84.4047619047619
1.2076956448206753,84.4047619047619
1.2303920361420175,84.73809523809524
1.1777109609366243,84.93809523809523
0.8944963935287924,91.0
0.85775519974435,87.0
0.7009225318902468,83.0
0.8360976857934665,85.0
0.7883388542378631,84.0
0.8180052361357388,82.0
0.841512917570828,80.0
0.8372718002560591,81.0
0.8045027736737289,80.0
0.817936329248532,71.0
0.8268103152584523,62.0
0.8468285774841964,60.0
0.7267296506735206,51.0
0.8540366437483371,49.0
0.8114737607524427,49.0
0.83842972579379,50.0
0.8569369866909842,51.0
0.7587212373337451,50.0
0.7616418197867478,49.0
0.8075824370141049,49.0
0.8022804338208083,52.0
0.8174306356909748,51.0
0.8418108101907005,50.0
0.7681780415716579,49.0
0.4916185034567424,48.0
0.7480865920867048,48.0
0.6213726721435657,50.0
0.8506619840843865,49.0
0.6062386209225163,49.0
0.7687593828040118,51.0
0.7611970215600317,51.0
0.8255245527965633,50.0
0.7701682479932437,52.0
0.8379903865236695,52.0
0.7614683714450177,50.0
0.7838154827328694,48.0
0.7935566351097054,47.0
0.454726036393291,47.0
0.792503396271433,49.0
0.5360826829379928,49.0
0.7593236684272053,48.0
0.7492985693606369,51.0
0.8164795391843089,52.0
0.8852667934057719,53.0
0.8178804385422129,54.0
0.850538482193083,54.0
0.7594843756126504,54.0
0.7446873527360518,54.0
0.7620756533416229,54.0
0.8129097053253052,55.0
0.7877086218086,55.0
0.8378816770167612,56.0
0.7673830210796164,57.0
0.751184573553759,57.0
0.7754079721370108,56.0
0.7921304712184041,56.0
0.7720339838058359,57.0
0.7735506592006116,57.0
0.8110349137941553,56.0
0.7775967782255373,56.0
0.8337274730359141,56.0
0.8051045758945139,56.0
0.8897851896457905,55.0
0.770401643218424,55.0
0.790455387806285,55.0
0.7943828913329694,55.0
0.7796580932347399,56.0
0.7822089943206101,56.0
0.83261994650235,57.0
0.7901756832422686,58.0
0.8299664025306948,58.0
0.7945030698092839,57.0
0.6054823360080834,57.0
0.8713136734781877,58.0
0.6703195001475493,57.0
0.8101887353257933,57.0
0.8680359223200806,55.0
0.9209999671723739,55.0
0.6258334394193814,56.0
0.8873683755014459,56.0
0.6016838641927365,54.0
0.6397197151478857,54.0
0.8057958915921635,53.0
0.7791698352498657,53.0
0.8058226675396929,56.0
0.8488142475048734,57.0
0.7651660850807152,57.0
0.6380737918346493,58.0
0.7733651567764279,58.0
0.8623844959345099,57.0
0.8478374768725487,56.0
0.8415179062675993,56.0
0.5758599739935857,56.0
0.7507647601569047,55.0
0.8745538548833616,55.0
0.8299031197727875,54.0
0.8956647020296304,53.0
0.8731364573427349,53.0
0.8859994547430503,54.0
0.8860584083571803,54.0
0.8267262103688422,54.0
0.9012569883910042,54.0
0.830499065164997,57.0
0.840053606899398,59.0
0.8425284773793509,60.0
0.9357808958696983,60.0
0.8340693148911376,60.0
0.8308351813936059,61.0
0.9091388614748337,61.0
0.9466072824154774,61.0
0.7847261177123177,60.0
0.8221944664770824,60.0
0.8056627331927895,60.0
0.5563859090315093,60.0
0.7200797346656049,59.0
0.7279121666396726,59.0
0.6020880643666922,58.0
0.7720218158481238,59.0
0.7651711869675331,58.0
0.7626119836123384,58.0
0.719879813313117,57.0
1.2236882154510695,57.0
0.6039879071769061,57.0
0.7290039297801614,57.0
0.7856666147255877,57.0
0.5239966015937774,57.0
1.1962498556148091,53.0
1.0622234899581482,49.0
0.4122993431098436,49.0
0.562159690792404,49.0
0.7475018786736181,48.0
0.7754841572745694,45.0
0.607206802565265,42.0
0.5074259077874883,41.0
0.9115088408595451,41.0
0.741757037477182,41.0
1.1011287715470992,41.0
0.8874494120823098,40.0
0.38697333218869767,37.0
0.6103708897401665,35.0
0.8277128495698687,35.0
0.7412014273839329,35.0
1.0614551308506264,35.0
0.7135214663292504,35.0
0.7227501218348986,34.0
0.7561478373968962,34.0
0.7487140589530825,34.0
0.39835637792779055,34.0
0.7379780095619459,34.0
0.7523418507709518,35.0
0.7593895028459663,36.0
0.7025552370211954,36.4
0.7384958202751282,40.0
0.6415116408423907,39.0
0.9848848675768673,38.0
0.7335543434845522,37.0
1.0426715697644582,37.0
0.045295637170501335,39.0
1.159206891873497,37.0
0.44818457230994735,36.0
0.689231011679357,35.0
1.1403238029965497,35.0
0.41333597361142393,36.0
0.7464852403890148,36.0
0.7832074433998502,35.0
0.738219575843877,35.0
0.69050984273143,35.0
0.6432844771026942,35.0
1.1994935531796802,35.0
0.6805818322023982,34.0
0.686381086372613,34.0
0.577382349859402,34.0
0.7063568312843049,39.0
1.0698631094826565,38.0
0.9529795207720633,38.0
0.6131700043215789,38.0
0.8688006719806673,39.0
0.6371902344324001,39.0
1.0141980171951288,40.0
0.8459565731947798,40.0
0.603022683676647,40.0
0.6792412676667907,41.0
0.6079658127043355,41.0
0.48488333165864717,41.0
0.7766108050359604,40.0
0.7259642955508308,40.0
0.4373107531535325,42.0
0.9183922925738734,42.0
0.6622498583420682,40.833333333333336
0.6708879759132156,40.833333333333336
0.7684186494109193,40.833333333333336
0.7136256188764665,40.833333333333336
0.5735533202184189,40.63333333333334
0.8439940206459235,40.0
0.6076108610605262,41.0
0.5632437639867973,40.0
1.0554086613166875,40.0
0.701840896323755,40.0
0.4749535335052264,40.0
0.7615309059007678,41.0
0.7236459652577549,41.0
0.7340311436700588,41.0
0.7334998045230363,41.0
0.7644005069590185,41.0
0.73296808844501,41.0
0.8116419143488285,38.0
0.7581974759750731,38.0
0.7146771633269031,39.0
0.7188713946874952,37.0
0.7299768265556996,39.0
0.7782522765267874,38.0
0.7468507795375663,37.0
0.7173537155370351,37.0
0.7418508880081243,37.0
0.7739298470908995,37.0
0.7241225773942368,36.0
0.743107191314611,35.0
0.757839584682912,35.0
0.7255347259500771,34.0
0.72929273633043,35.0
0.742831763361254,35.0
0.7422416905917815,34.0
0.7904077276542028,34.0
0.4949671914161935,34.0
0.7227681621282804,36.0
0.721983753040075,37.0
0.7550933130222353,38.0
0.76075212358933,38.0
0.629644187883247,38.0
0.7112158828781796,38.0
0.7135987672333823,37.0
0.7614779088088115,36.0
0.5183798783253946,33.0
0.461331278465829,33.0
0.6693484332600614,33.0
0.7948687507979364,34.0
0.7911465892640197,34.0
0.7896305159268726,34.0
0.6054436987529388,35.0
0.6859660484014038,35.0
0.8307167355782674,37.0
0.8023629907082452,40.0
0.8149610735768542,41.0
0.6943615328346664,41.0
0.7577407771429767,41.0
0.7579012777632639,41.0
0.7951953142649191,41.0
0.7976227898657045,41.0
0.7772533599176259,42.0
