feat_0,feat_1,BIS
0.6098634514004897,0.8232086448642237,98.0
0.5252841578414533,0.8091615377505287,98.0
0.6568999615884699,0.8052165899094934,98.0
0.7737759990628921,0.8491537748262963,98.0
0.6922453130870734,0.8590124837914452,98.0
0.8389824577289939,0.8624472730525258,98.0
0.7067344955370549,0.8595896155930387,98.0
0.7659314529971422,0.8589850668532554,98.0
0.6513265534510024,0.8363475585329349,98.0
0.8675165447750177,0.8296736274462378,98.0
0.5676252657749079,0.8146017168350753,98.0
0.6136176807293356,0.8214950032123491,98.0
0.5932212587378096,0.8158857103473901,98.0
0.5586990688099758,0.8246284523289652,97.0
0.49602664948325215,0.7840730459113334,97.0
0.6970833826088318,0.8042156174428383,97.0
0.8198355221379168,0.8154607703447195,97.0
0.5588626860843968,0.789566090949172,98.0
0.7267333707620471,0.8087010634851247,97.0
0.6826312601298805,0.8238407556888168,97.0
0.5599033105316029,0.8387808198110506,97.0
0.7568903881459663,0.8141500102815216,97.0
0.776522189564838,0.8104484232040211,97.0
0.5381639559020561,0.8161031523808794,97.0
0.497007132394208,0.7690042398160896,97.0
0.4402076871237246,0.8041959247374776,97.0
0.5667724031200785,0.8492897696932799,97.0
0.5565529735801067,0.8109110839437731,97.0
0.8973017752671812,0.8083703438135397,97.0
0.8259934038046328,0.8149483028172533,95.0
0.9772755721564863,0.8255596869653415,95.0
0.5883174010199443,0.7747610621631872,91.0
0.8315046118177176,0.8366909007213316,92.0
0.7413472117959792,0.8207327998074336,95.0
0.9211071709511822,0.8258813440868162,93.0
0.9071988972434903,0.8288105357216723,91.0
0.7460132156281039,0.8143530624119201,93.0
0.8364931728337308,0.8179834288905504,95.0
0.8442750832621164,0.8131471813603639,94.0
0.8217986624279101,0.8142133361874877,94.0
1.0696859096387277,0.8314128417197695,96.0
1.012128837835231,0.8563914157694641,95.0
1.1004640614958934,0.8581493689963685,97.0
1.1084297431632417,0.8605385665296007,97.0
1.1177558735672752,0.8546639177072856,94.0
1.1035173834701277,0.8363684301832123,95.0
1.0525895849786053,0.8336440081816932,94.0
0.8481736574571843,0.8165632642745276,94.0
0.7122188267903518,0.8218552233032117,93.0
0.6666357252711754,0.8095544909460406,91.0
0.6931551812318375,0.8138945635777253,88.0
0.7198692643689024,0.7900064761889029,87.0
0.8060594561534025,0.8439997758821371,87.0
0.7700823666693419,0.8027485349583778,87.0
0.719377234858531,0.8002186676419134,87.0
0.692162696441228,0.8056428387253707,87.0
0.7322850836086574,0.7960473275284029,86.0
0.6379994040970889,0.7914619733869592,86.0
0.6887015140734287,0.7906445745563634,83.0
0.7156718315281201,0.794729217023027,57.0
0.6273507538470269,0.7978179780953245,45.0
0.6033491374030384,0.8069209216178932,42.0
0.6513100282702555,0.7849257790722329,42.0
1.1601265044827307,0.8725500480191135,37.0
0.7136387447893782,0.8218663300955191,35.0
1.1530241012804807,0.8919947716098865,36.0
1.1186619074470214,0.8798561405586056,36.0
0.9160297543745979,0.8527896006348449,37.0
1.037467836907962,0.8492972778238849,37.0
0.8416101373542371,0.8226824059426878,37.0
0.8441920482173968,0.8135990041539866,35.0
0.859760890339456,0.8203509185211001,37.0
0.9550709280027667,0.834760933632997,39.0
0.8476360598784991,0.8079517153550752,50.0
0.8844712598584463,0.8321178768320824,49.0
0.9085077905748968,0.8021983013564354,55.0
0.7332320231039051,0.809921852366878,76.0
0.7266523288935192,0.8034016084845714,83.0
0.8726310026724482,0.7971920802155041,83.0
0.6922692385053457,0.7955476855665751,83.0
0.7403633043167153,0.7833704509849498,83.0
0.7160284839300206,0.7914165274775486,82.0
0.770536987604661,0.7886290073121908,82.0
0.8326786819949783,0.7861569953509757,70.0
0.7575148380387899,0.7902061275977446,65.0
0.6896418796461541,0.7843831997468101,63.0
0.8501764627303232,0.8022819073753381,57.0
0.9591074508259076,0.8057654070096141,49.0
0.8245794742031287,0.7697314908494631,43.0
0.2700514665543965,0.5676078706685623,42.0
0.035038726483796134,0.41670467219961405,42.0
0.21737967458852925,0.644683196252001,40.0
0.5348952935772924,0.802154519385974,38.0
0.8742262044702818,0.7847180436151269,37.0
0.8042186303538963,0.7844692648317575,37.0
0.8525877500956964,0.7852535047928435,38.0
0.8944951814883564,0.8035311133010026,38.0
0.7681179154364348,0.7882582355800266,37.0
0.8386886855020403,0.7872861593197447,37.0
0.8611356909021204,0.7666752219846233,38.0
0.8649922549487279,0.783208615852033,37.0
0.6066604623948488,0.7924378482399328,38.0
0.7736633636063504,0.7959741913365072,39.0
0.8629370025999785,0.7934169193866983,38.0
0.9438202179483728,0.8060082078003461,39.0
0.9370531633482786,0.8160558699582627,39.0
0.7987347513571268,0.8102727845222275,36.0
0.8137941906138741,0.7799082000310321,37.0
0.9051492953324378,0.7916862835342788,33.0
0.894853376200738,0.7784292917284457,30.0
0.8312056179333296,0.7741899489952183,30.0
0.7997480850817991,0.7689700229814923,30.0
0.6722612469164075,0.7786050622218855,31.0
0.7317640897709055,0.769590321165948,31.0
0.7857389200431277,0.7830432354143848,32.0
0.8794761245481646,0.7734542636265292,32.0
0.8303997996769161,0.8005882289477786,33.0
0.9022041738092335,0.7767871365749982,31.0
0.6172266047310377,0.7768109339835034,32.0
0.6422662180097918,0.7808639296469981,33.0
0.8296047076702,0.788076391029923,32.0
0.8842211841200385,0.7786257110813519,31.0
0.9024129011721018,0.811330681578582,30.0
0.8590237143988606,0.807055852805122,31.0
0.9773188955246677,0.8144270337303539,32.0
0.9342428298015095,0.794718886765198,32.0
0.8789353072715258,0.7816720598803314,30.0
0.9575545058960522,0.797493018242936,30.0
0.8706377530148233,0.7909380628666631,31.0
0.935718468839629,0.7965293223777385,35.0
0.9603067076783627,0.7995177774395256,39.0
0.922850610762699,0.8053045841065408,44.0
0.9544424553815323,0.7851022788798712,49.0
0.950015397712586,0.7962418717349322,49.0
0.9145999379579446,0.799431500507086,49.0
0.8508063780587993,0.7832878517153077,53.0
0.877976163654286,0.7850414283191517,53.0
0.9003502649339703,0.7709849331376053,54.0
0.8208255602737169,0.7779424795686531,54.0
0.9257270517580092,0.7869495488051994,54.0
0.9005881600359751,0.7959545856104457,53.0
0.852955963381985,0.7773944031643247,53.0
0.9140780475994776,0.7826768425433882,53.0
0.8559423630064256,0.7885168199007846,50.0
0.8433429388795752,0.7863614988964338,45.0
0.9433629732198594,0.7805109959954487,48.0
0.8475635809354558,0.7784767216430857,47.0
0.9364459859694181,0.7994834826547307,50.0
0.9561858208595213,0.8151799444676807,49.0
0.9298642256207299,0.792340623463184,49.0
0.9103101974160421,0.7866204665503425,50.0
0.8850149461947123,0.7810142737682109,52.0
0.8616404181441903,0.7731312527790204,49.0
0.803036619292731,0.7894439982926563,48.0
0.8889717506515602,0.7989855510896656,47.0
0.8669463917521032,0.778680997159434,47.0
0.8695425241887427,0.7619001681875958,48.0
0.8574769551247972,0.7718982719303987,46.0
0.8713410467146638,0.7829788225184503,47.0
0.8695627492092193,0.7682387830634968,49.0
0.8618330509909651,0.7799817643617287,50.0
0.7981028143980491,0.7584988442661588,49.0
0.8916094061239872,0.7767015690385192,50.0
0.8324150150993517,0.7767768702399949,48.0
0.8784655022246217,0.7695737097250449,49.0
0.7689477374703508,0.7787815955582041,49.0
0.8180959399648682,0.762738871960748,48.0
0.8258844615960323,0.7640264863428197,51.0
0.8291403330702223,0.7562616295085035,50.0
0.8605237379855826,0.7555316873179921,50.0
0.7957440730641103,0.7701311293571107,51.0
0.904784625681923,0.783194423161358,52.0
0.8252283191220058,0.756253578229815,53.0
0.7758211109147561,0.7339120695199396,50.0
0.8272440267673953,0.7812129270029794,50.0
0.8483381922134634,0.7557493080627594,48.0
0.8241054878424561,0.7529657296255127,48.0
0.7904166204276337,0.7652566208498023,46.0
0.8059657468977921,0.7714665680971661,46.0
0.8588608597452998,0.7636768809358921,47.0
0.7969734875544243,0.7547358654752061,46.0
0.7952232134141992,0.7518507729038344,46.0
0.7889334085593251,0.7592312912271291,46.0
0.752316541322192,0.7517670295903836,45.0
0.8023554343243071,0.7631840019438275,42.0
0.7768361566755217,0.7702044165767414,42.0
0.7750549823162816,0.756420896849376,41.0
0.7966325914492529,0.7489014770446182,41.0
0.8405324393268123,0.7583431804704189,41.0
0.7591765306638529,0.7772218729675373,41.0
0.7604540702414218,0.7476345175560742,42.0
0.7117471408466591,0.7505068689171422,45.0
0.7717937668459429,0.7453811031973361,45.0
0.7325967379203484,0.7185817224902346,44.0
0.8078932063745223,0.7619657771617834,45.0
0.6084532343253972,0.769412509070484,43.0
0.7870207306720047,0.7530085103764015,42.0
0.8006921598740284,0.7615799130460581,42.0
0.8380557021645738,0.7632187938163625,41.0
0.8421308392160562,0.7536132232874135,41.0
0.7699906372726244,0.7404004382705881,41.0
0.749937571472902,0.7517471177640787,41.0
0.7062388068243473,0.7637227561684844,40.0
0.7222482221837141,0.7659697794683339,40.0
0.6599206422091441,0.7512188084881811,40.0
0.7717608256783821,0.7555573888945457,40.0
0.7315300117774144,0.7665291820231447,40.0
0.734068986249016,0.7574976211947185,40.0
0.5722008581334261,0.7066188615517991,41.0
0.09120793426792595,0.47901883220063163,41.0
0.5984115709404532,0.7070516092142813,41.0
0.7573483469414324,0.7477771376717385,41.0
0.7816200986898925,0.7563686516794027,40.0
0.7480441035741463,0.7492566391826423,41.0
0.7372250520043813,0.7538826564265605,41.0
0.7183303431785579,0.7354230084384453,42.0
0.7137553730794588,0.7523767395663988,43.0
0.745502691496565,0.7668717779133816,43.0
0.6856838369545599,0.7636925146661916,42.0
0.7568144561504311,0.7663292628533283,42.0
0.7627303817257385,0.7486690028381328,42.0
0.8406688484664135,0.7755367154716188,42.0
0.7260273195146643,0.7389846755789428,41.0
0.7441232749851068,0.7280399050446356,41.0
0.8251248328590846,0.7765479234533551,40.0
0.7470341201717496,0.7482293067257724,39.0
0.7403900481424617,0.7592536954900464,39.0
0.7693411721872598,0.7540057215309932,39.0
0.7080156076672108,0.7418373890230582,40.0
0.7712049093079774,0.7444868649914407,39.0
0.7246840232887917,0.7342134517951227,40.0
0.7455849062740074,0.7458347240316938,41.0
0.7209690752373352,0.7588724369101105,40.0
0.79111140675804,0.7596834451038383,40.0
0.732931082798618,0.7460744655514874,40.0
0.7649155871397992,0.7480233765073374,40.0
0.6984732416549071,0.7317689227500491,41.0
0.7394688073463458,0.7512369424124193,41.0
0.7268488491483165,0.7593624025164618,41.0
0.7394961759584895,0.7530923068394438,40.0
0.8214717171838131,0.7526273072665886,40.0
0.822304660336421,0.7731353267363298,39.0
0.7585725499437208,0.7528647349392563,40.0
0.7710713180983362,0.7543514777486621,40.0
0.7173536525566222,0.7615781400684438,38.0
0.8036140857950604,0.7423440959662104,39.0
0.7968110893622087,0.7423585075245184,39.0
0.7739803469024271,0.7613120482063519,39.0
0.7800440105007467,0.7799596070479726,39.0
0.7589479803939079,0.7492911518511667,38.0
0.7123562583020733,0.7271278567880323,38.0
0.8036080109907138,0.7562782994534601,38.0
0.8781789817175669,0.8013718298493092,38.0
0.7432526686333838,0.752253753641975,38.0
0.7207497643523877,0.766401901063834,37.0
0.7165587358883938,0.7402910544042108,38.0
0.7649295017318636,0.7530218416181458,38.0
0.9043886224113504,0.7698061348449108,41.0
0.6935553453705094,0.7642123477125511,41.0
0.7163566106014398,0.7680480761402085,42.0
0.7435972608105597,0.7397325316979787,42.0
0.738804272545766,0.7504769850586436,43.0
0.8409785993189507,0.7819844453424317,43.0
0.7685003505527943,0.7439015907546075,44.0
0.738292646654394,0.7521700827249277,44.0
0.7807793327459773,0.7635639802925845,43.0
0.7554068537462229,0.7448373061919983,41.0
0.7656451763113079,0.7322717698844835,41.0
0.7988976167288628,0.7399968840582013,41.0
0.6994412423056011,0.7592397323115276,40.0
0.7895827492294605,0.7562956543597805,39.0
0.8381465827853574,0.7919056595031283,40.0
0.7982423432437904,0.7522322160260446,40.0
0.8069949640503933,0.7532176044098537,41.0
0.7605891137711933,0.7690698847215879,40.0
0.8130122672767914,0.7665029713985891,41.0
0.7892115934623254,0.7776557062050476,43.0
0.8463413644535609,0.7944103949815307,41.0
0.8047796061316355,0.7643204658325082,41.0
0.7375989855200586,0.7598834789829929,41.0
0.8298798267642242,0.7700021564418539,41.0
0.7234328747181942,0.7309358699081446,41.0
0.784153044784246,0.7687078071718635,40.0
0.7941390899528962,0.7721618327598384,40.0
0.7827851102553494,0.7543826105804151,40.0
0.9158504374531131,0.768238147189806,40.0
0.8206340382638841,0.7914915452045821,40.0
0.7682612237089228,0.7536167492158261,42.0
0.8843349978733568,0.7814741387715746,43.0
0.9198726882250328,0.7836985141001858,43.0
0.8331792269027471,0.7712262843431547,44.0
0.8742857690367498,0.763699258616052,44.0
0.7359763963301496,0.7616201768496342,44.0
