feat_0,BIS
0.7965577794323584,79.0
0.7989153792423248,83.0
0.8076679992201237,83.0
0.7995547444083109,88.0
0.8123459886693517,86.0
0.8048916714465894,84.0
0.8096886360015377,83.0
0.8063172963453002,80.0
0.8101034998824601,79.0
0.8115480040114603,80.0
0.8075349010096704,77.0
0.8076543170707408,74.0
0.8058204718596647,76.0
0.8041183411194054,77.0
0.8097867398045742,77.0
0.7980587598896655,80.0
0.8263976967148999,77.0
0.7948209741586881,77.0
0.8375188292006027,78.0
0.7702919945443888,75.0
0.8016676944338172,76.0
0.800861082165201,77.0
0.8301925945213282,76.0
0.8199869975433627,76.0
0.7999373203058181,79.0
0.8013121591089726,80.0
0.8059321966747408,79.0
0.8130792585775911,79.0
0.8036899217219007,80.0
0.7356444826888772,80.0
0.8022714163457803,89.0
0.8155911795843357,89.0
0.8216832316784941,88.0
0.8157155899480864,87.0
0.7964781829840417,88.0
0.8273318597747442,90.0
0.8230497315649493,89.0
0.8048261496249027,90.0
0.7979802957849248,90.0
0.7912578601532856,89.0
0.8058779133964279,90.0
0.817255130067692,91.0
0.8012961508822111,91.0
0.8217185986276175,91.0
0.7818590019225029,90.0
0.8097038601481944,91.0
0.7973532042086219,91.0
0.8103389521389551,90.0
0.8020357982423253,91.0
0.8190387161078678,90.0
0.7964014399104964,90.0
0.8144767724727524,91.0
0.8067421006609766,90.0
0.8075943571177184,84.0
0.8059695400224518,88.0
0.8076696565081848,89.0
0.7975700733451426,89.0
0.7886098692338601,86.0
0.806882980052397,85.0
0.7771128092966342,85.0
0.7981507217869679,85.0
0.8317148336111393,88.0
0.8003829411054271,88.0
0.8042032333360764,87.0
0.8058637332358709,87.0
0.8255455642213012,89.0
0.779365840328226,89.0
0.787980834093286,89.0
0.8055970203360976,86.0
0.8057432133904062,82.0
0.8189110548351279,80.0
0.8283411113231801,77.0
0.8044183274111422,76.0
0.7901642791851601,75.0
0.8107100521044682,79.0
0.8077963600973314,75.0
0.8258381340183111,74.0
0.7905011344860239,74.0
0.845552403780381,74.0
0.771220972106045,74.0
0.7864504515142362,74.0
0.7413288655460258,74.0
0.7824426928335033,74.0
0.8048850513361853,80.0
0.7619143900572231,85.0
0.7991501063512207,88.0
0.8311742820886897,89.0
0.8132030144825901,91.0
0.7551021875496331,95.0
0.7571803993300976,96.0
0.7828156024899245,96.0
0.8205838099040245,97.0
0.7763275617799753,96.0
0.7769287139258062,95.0
0.7420906815897028,91.0
0.7404343545063456,86.0
0.7818129189556549,90.0
0.8289442355637565,88.0
0.8284442309270955,90.0
0.8294207779187734,93.0
0.8138753225951321,82.0
0.7384700775408148,84.0
0.7459291234182128,84.0
0.7058586039132277,88.0
0.4604199382650529,97.0
0.4084341910771698,96.0
0.6782562737801769,96.0
0.7648589489655294,93.0
0.7819844453424317,92.0
0.7440797340426734,89.0
0.7274365099757352,83.0
0.7783006938179773,82.0
0.8218663300955191,82.0
0.7980360848702588,82.0
0.7786481455023483,81.0
0.8005017801628087,50.0
0.7996714079316255,40.0
0.8048204746728393,40.0
0.8257686753675052,32.0
0.7749836638959778,33.0
0.7785182372961018,39.0
0.7729410997601533,39.0
0.7735219301924279,41.0
0.7439294804910288,43.0
0.7574068530869678,46.0
0.8005847659176771,46.0
0.8163176448467261,51.0
0.8094244365576322,54.0
0.8275368727171207,53.0
0.801551296998716,48.0
0.790344057895852,45.0
0.8031626643731955,44.0
0.7899178101410648,42.0
0.7887283392544038,41.0
0.793125526260262,41.0
0.7816568281240571,42.0
0.7748238254126656,47.0
0.778670968139361,54.0
0.7705982459409665,55.0
0.7901626586388836,55.0
0.793304679499003,52.0
0.7857019333358217,51.0
0.786568728870908,50.0
0.7848566774692165,49.0
0.7891254841944995,48.0
0.8026044463162406,44.0
0.7959070543346964,42.0
0.7874703790582133,39.0
0.7825803112255454,39.0
0.8003418014061549,41.0
0.7796797326792367,40.0
0.7933865570332393,39.0
0.8075635414452933,39.0
0.797993292597834,37.0
0.7847911544440201,40.0
0.7727541150573533,39.0
0.7852368629134339,39.0
0.7751904847767219,37.0
0.7795873605022188,38.0
0.7873830938895636,40.0
0.7962230842418891,39.0
0.783536852849982,38.0
0.7802306497369639,40.0
0.7962037668235512,41.0
0.8156649125847605,43.0
0.7915217115046413,43.0
0.7866105175570948,43.0
0.7866028855766827,44.0
0.7883556771575052,45.0
0.7692650043092719,44.0
0.7847188645107926,45.0
0.750323588871563,41.0
0.7777129682268044,42.0
0.7697634277848459,45.0
0.7791905749752319,46.0
0.7729410997601532,46.0
0.7700250840568882,44.0
0.7750376921426817,44.0
0.8010220825144041,44.0
0.7784063059408938,45.0
0.7785119160201283,45.0
0.7786257110813519,46.0
0.7812393918696777,46.0
0.7868220172148739,46.0
0.7546136433028616,48.0
0.757175007432886,47.0
0.7588710069436458,47.0
0.7741157789388672,47.0
0.7634923477114526,46.0
0.7884409028393711,47.0
0.7654647032252918,46.0
0.7581927436302007,47.0
0.762960578206381,47.0
0.7615799130460582,47.0
0.7540342374282928,45.0
0.7696007240778446,44.0
0.7400553520610722,44.0
0.7503142436750866,43.0
0.7562157245187895,45.0
0.7585243293639495,43.0
0.7524842393408349,43.0
0.7883372096887082,46.0
0.7880466615444791,49.0
0.7827867306456102,49.0
0.8012042553038926,52.0
0.7924529351347056,51.0
0.8372670992975669,48.0
0.8040543009505103,48.0
0.8321974940046802,48.0
0.8188778024236525,47.0
0.8035532983485699,46.0
0.814307388628541,48.0
0.8041096696643065,52.0
0.7916286491503879,51.0
0.7926701559036325,49.0
0.7980809679038584,50.0
0.776434127307326,63.0
0.7599882517285189,64.0
0.7688984181120969,73.0
0.7876054928916428,74.0
0.7911701802537254,78.0
0.7863892114089288,78.0
0.753043800739793,75.0
0.5723547616930794,79.0
0.4081968090361676,77.0
0.5866343707548836,77.0
0.7581017146796029,77.0
0.7669241448615874,76.0
0.750707669221779,75.0
0.7621116904617309,69.0
0.7512611474301251,66.0
0.755878418221312,67.0
0.7606731425888715,66.0
0.7522586921160528,66.0
0.7595103567899667,66.0
0.7570538425248836,67.0
0.773702409774531,67.0
0.7554418955804217,62.0
0.7630765670745178,54.0
0.7791989958844752,54.0
0.7748413437813493,55.0
0.7725081742510294,52.0
0.7378170270641633,52.0
0.7489127340816465,52.0
0.7552957225489136,53.0
0.7686654767382158,55.0
0.7732754405867832,52.0
0.778843649008076,52.0
0.7631957988587937,51.0
0.7753537274848382,50.0
0.7475293673996722,49.0
0.7539650697423389,48.0
0.7705734528677471,47.0
0.7563929542926995,47.0
0.7546629614637672,46.0
0.7583793687448133,47.0
0.763739786536847,50.0
0.7515351348751688,48.0
0.7618377110436648,49.0
0.7338675277006681,48.0
0.7428489392018698,49.0
